dia,orden,tipo,titulo,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,correcta,puntos,explicacion,activo
1,1,noticia,📰 Dólar vs Moneda Local,Tu moneda local se devaluó 20% en un mes. ¿Qué significa esto para tus ahorros?,Mis ahorros valen lo mismo,Perdí 20% de poder adquisitivo en dólares,Gané poder adquisitivo,No me afecta si no tengo dólares,B,15,"Si tu moneda se devalúa 20% vs USD, tus ahorros locales ahora compran 20% menos en términos internacionales. Por eso diversificar en monedas duras es clave.",TRUE
1,2,trivia,💰 ¿Qué es la inflación?,"Tu sueldo sigue igual, pero tus gastos mensuales aumentaron 15%. Esto es:",Mala suerte,Inflación,Los comercios abusan,Crisis temporal,B,10,"Inflación es la pérdida de poder adquisitivo del dinero. Cuando los precios suben sin que tu ingreso lo haga, estás perdiendo valor real.",TRUE
1,3,calculo,🧮 Tasa real vs nominal,Inversión paga 10% anual. Inflación es 8%. ¿Cuál es tu retorno REAL?,10%,2%,18%,8%,B,20,"Retorno real = Retorno nominal - Inflación. 10% - 8% = 2%. Siempre medí en términos reales para saber si realmente estás ganando.",TRUE
1,4,decision,🎯 ¿Dónde guardar ahorros?,Tenés 10.000 en moneda local. Inflación proyectada: 5% mensual. ¿Qué hacés?,Lo dejo en efectivo,Cambio a moneda dura (USD/EUR),Plazo fijo en moneda local,Lo gasto todo,B,10,"Con inflación alta, mantener efectivo en moneda débil es perder valor. Cambiar a moneda dura protege tu capital. El plazo fijo solo funciona si la tasa supera la inflación.",TRUE
1,5,realidad,🔥 Bitcoin vs Oro,Querés diversificar fuera del sistema bancario. ¿Qué elegís?,Solo Bitcoin,Solo Oro,Mezcla de ambos (70% oro 30% BTC),Ninguno son muy riesgosos,C,25,"Oro: 5000 años de historia, baja volatilidad, preserva valor. Bitcoin: digital, portátil, pero volátil. Una mezcla te da lo mejor de ambos: seguridad del oro + potencial del BTC.",TRUE
2,1,calculo,🧮 Interés compuesto,Invertís 1000 al 8% anual. Lo reinvertís. Al segundo año ¿cuánto tenés?,1160,1166,1180,1200,B,20,"Año 1: 1000 × 1.08 = 1080. Año 2: 1080 × 1.08 = 1166.4. Ganaste interés sobre el interés. Esos 6.4 extra son la magia del interés compuesto.",TRUE
2,2,noticia,📰 Banco Central sube tasas,El banco central subió la tasa de interés al 12% anual. ¿Por qué lo hace?,Para ayudar a los ahorristas,Para controlar la inflación,Para debilitar la moneda,Sin razón aparente,B,15,"Subir tasas encarece el crédito y reduce el consumo, frenando la inflación. Es una herramienta del banco central, aunque muchas veces llega tarde.",TRUE
2,3,trivia,💰 Renta fija vs variable,¿Cuál es la diferencia principal?,Una tiene más riesgo,"Renta fija paga retornos predecibles, variable no",Una es ilegal,No hay diferencia,B,10,"Renta fija: bonos, depósitos, retornos conocidos. Renta variable: acciones, criptos, retornos impredecibles. Mayor riesgo = mayor potencial de ganancia (o pérdida).",TRUE
2,4,decision,🎯 Emergencia financiera,Perdiste tu trabajo. ¿Cuántos meses de gastos deberías tener ahorrados?,1 mes,3-6 meses,12 meses,No hace falta,B,10,"3-6 meses de gastos en activos líquidos (moneda dura, cuenta disponible) es el estándar. Te da tiempo para buscar trabajo sin desesperarte.",TRUE
2,5,realidad,🔥 Diversificación,Tenés 10.000 para invertir. ¿Cómo lo distribuís?,Todo en una sola cosa,"40% bonos, 40% acciones, 20% oro/BTC",100% en moneda local,100% en criptos,B,25,"Nunca pongas todos los huevos en la misma canasta. Una cartera balanceada reduce riesgo. Si algo colapsa, no perdés todo.",TRUE
